id,name,general_name,general_name_refined
703,Body cleaner,various,various
33620,Ice Cream With Vanilla,various,ice cream
8424,Ice Cream With Vanilla,various,ice cream
18376,"Cookies - Maple Leaf - Buy 2 and get 1 free marshmall bag (454 g), worth $ 2.49.",various,various
29398,Organic Ground Coffee - See Varieties In Store,various,various
19706,Mozzarelissima bar,bar,bar
9210,Ice Cream With Vanilla,various,ice cream
21347,paninis,various,various
2966,Biscuits - Bear legs - see varieties in store,various,various
13838,pineapple,various,various
44580,vegetable shortening,various,various
7041,Cookies - Choco,various,various
8514,Pickles,various,various
17309,Rouge delicious apples - from the United States,various,various
48071,Tomatoes - Accents - See varieties in store,various,various
23338,Cookies - Goglu,various,various
9507,rhubarbes,bar,bar
32560,Fresh cheese - Minigo - View Varieties in store,cheese,cheese
11041,Fruit snacks - fruit-o-long,various,various
29350,Refrigerated Juice Mix - Nature Collection,juice,juice
21938,Ice cream - Cremerie style - See in store varieties,various,ice cream
37436,Disinfecting wipes,cleaning product,cleaning product
26987,Baby Cookies - Farley's - See Varieties In Store,various,various
7948,Wafers - see varieties in store,various,various
39275,"Rice - Uncle Ben's - Save $ 1 - * $ 6.49 Without Coupon - Limit of 1 Coupon by Purchase, By Customer",various,various
13853,Peanut Butter - All Natural,various,various
16445,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry,laundry
38124,Salmon,various,various
2962,Baby Food - See Varieties In Store,various,various
35696,Peanut Butter,various,various
44010,Fruit Drink - View Varieties In Store,various,various
42254,Submarine breads,various,various
11844,Yogurt - Source - See Varieties in-store,yogurt,yogurt
13053,Refrigerated dessert,various,various
2439,Antiperspirants - see varieties in store,various,various
3522,"Refrigerated Cranberry Cocktail - Saturday, July 14th Only - Limit of 4 - $ 3.49 The rest of the week or by item outside the limit",various,various
10157,Batteries - Lower price of the year,various,various
13431,Honey,various,various
15112,Vegetable Cocktail - Garden Cocktail,various,various
43294,Peanut Butter - All Natural,various,various
39566,Brown eggs - Gros Caliber,various,various
22034,Peanut Butter - See Varieties In Store,various,various
12544,Tomato Pastry - See Varieties In Store,various,various
42469,Cheese sticks,cheese,cheese
13780,Babies Bok Choy,various,various
40180,Ice Sweets - Drumstick - View Varieties in-store,ice cream,ice cream
27828,Frozen thin crust pizza - rustico,pizza,pizza
16743,Frozen meal - Marie Callender's,various,various
21288,Tea - Saturday 18th and Sunday 19 January alone - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week,various,various
42701,Tissue Paper - Unnamed - Saturday 28th and Sunday 29 September only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit,various,various
48364,Gas Drink - Coke - See Varieties in Store - 50% off,various,various
25256,Boneless turkey chest without skin - from Quebec,various,various
24506,Toothbrush - Extra Clean - Saturday 5th and Sunday January 6th - Limit of 4 - 99 ¢ The rest of the week or by article out of bounds,various,various
9444,Hygienic paper - Fluff,various,various
44501,Antiperspirants - see varieties in store,various,various
35221,Sardines,various,various
32003,Black Forest Smoked Ham Without Nitrite Sliced,various,various
46129,Plastic Film - Unnamed,various,various
16174,Energy Bar - See Varieties In Store,bar,bar
49520,Batteries - max,various,various
40232,Soup Mix - Lipton,various,various
16737,Preparation for infants A + 2,various,various
30407,Mushrooms Carnesses - Canada and / or the United States,various,various
1808,Honey - Unnamed,various,various
15689,Frozen Pizza - Trabec,pizza,pizza
45960,Biological hummus - humm!- View varieties in store,various,various
14689,Candy - Werther's original,various,various
7769,Artesian water,various,various
13194,Refrigerated dessert,various,various
25133,Hand cream,various,various
48057,Cheese - Sir Laurier d'Arthabaska,cheese,cheese
20277,Green cabbage - from Quebec - Canada # 1,various,various
27735,Jam - Smucker's - * Bonus 15 Points M,various,various
8006,Crunchy bars,bar,bar
11768,Plates,various,various
44182,Ice Cream With Vanilla,various,ice cream
12644,Ice Cream With Vanilla,various,ice cream
30855,Honey,various,various
27620,Slim Frozen Butter Chicken Pizza - Worldwide Flavors - See Varieties in Store,pizza,pizza
26487,Coffee Cartridges - Unnamed - See Varieties In Store,various,various
2225,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit",various,various
42650,Red Peppers of Fields - Quebec - 50% off,various,various
41690,Coffee in K-Cup buckets - McCafe,various,various
18594,Laundry Detergent - Pods,laundry,laundry
3485,Licorice - NIBS - See Varieties in-store,various,various
20785,nectarines,various,various
49140,Refrigerated dessert,various,various
6385,Refrigerated Beverage - Oasis Morning - See Varieties In Store,various,various
39815,Capillary Products - Whole Blends - See Varieties in-store,various,various
29616,Chopped of turkey chest,various,various
20738,"Peanut Butter - Creamy - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",various,various
28671,Cantaloup - from the United States,various,various
27243,Cookies - Goglu,various,various
48047,Frozen fruit - President's choice - See in-store variety,various,various
31187,Mined with ham,various,various
8368,raisin bread,various,various
35065,Licorice - NIBS - See Varieties in-store,various,various
22624,Litchis - Imported,various,various
38259,Instant Rice - See Varieties In Store,various,various
40067,Antisodorific or deodorant,various,various
24617,Green grapes without glitches - Category # 1,various,various
15703,Dishwasher - View Varieties In store,various,various
5760,Very big green peppers - from Quebec,various,various
42458,Grain Coffee - St-Denis Burning - View Varieties in Store - * Bonus 45 Points M,various,various
34256,Refrigerated fruit juice - health break,juice,juice
577,Cereal - Alpha-Bits - 50% discount,various,various
28342,Rice - Quick & Good - View Varieties in store,various,various
34282,Soybean spread,various,various
15285,Green grapes without glitches - California - Category # 1,various,various
18371,"Peanut Butter - Natural Crunchy - Saturday 8th and Sunday December 9th, only - Limit of 4 - $ 4.99 The rest of the week or by article out of bounds",various,various
45061,Acetaminophen - Regular 325 mg,various,various
25309,Fresh turkey chest boneless,various,various
20705,Turkey skewers with vegetables,various,various
28137,Acetaminophen - Regular 325 mg,various,various
49424,Yogurt - Classical,yogurt,yogurt
39201,Beer - Buy 2 Caisses and get a $ 15 reduction on your other groceries,various,various
15063,Sliced charcuterie - see varieties in store,various,various
24970,Ground Coffee - Gourmet,various,various
48498,Grape bread with cinnamon - pom,various,various
48812,Meal Set - Stackers Lunch Mate,various,various
47728,Meringue lemons tart,various,various
25758,Korean brown pears - from China,various,various
29316,Frozen duck - Category Utility,various,various
10132,Capillary Color - Beautiful Color,various,various
47258,Fresh pork net - Under vacuum packaging,various,various
32463,Soup - Gastronomy of the day,various,various
26034,Refrigerated dessert,various,various
38311,Seafood Broth Less salt - Campbell's,various,various
42447,Red Potatoes - From Quebec - Canada No 1,various,various
26248,Lemons,various,various
1612,"Jam, jelly, marmalade, spread - see varieties in store",various,various
48923,Frozen waffles - EGGO,various,various
1751,Flooded pizza - thin and crispy or blue menu - see varieties in store,pizza,pizza
37947,Treats for Dogs - Tarticking Slices,various,various
27522,Cream 35% - Ultra'Crème - * Bonus 30 Points M In purchase of 2,various,various
36389,mushrooms of Paris,various,various
7285,Instant Gruau - See Varieties In Store,various,various
37050,Brown eggs - Gros Caliber,various,various
25190,Spread,various,various
3464,Chicken for Chinese fondue,various,various
30945,Croissant,various,various
14814,Pasta without wheat / gluten free,various,various
29980,Black Forest Smoked Ham Without Nitrite Sliced,various,various
24866,Training panties,various,various
13396,Mousse,various,various
23752,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry,laundry
44508,Chou-flower - the United States and / or Mexico and / or Spain - Category # 1,various,various
31986,Puree of organic apples - the choice of the president,various,various
19111,Pure maple syrup,various,various
36853,Frozen Pizza - Giuseppe,pizza,pizza
45832,Chocolates - Turtles - Saturday 23 and Sunday November 24th only!- limit of 4 - $ 8.99 the rest of the week or by article out of bounds,various,various
31326,Hygienic buffers - Pearl,hygiene product,hygiene product
24929,Seafood flavored with crab,various,various
25588,Chocolate treatments - Mini,various,various
4086,Organic red pepper - from Spain or Mexico,various,various
26278,Preparation for infants A + 2,various,various
35140,Ice Cream With Vanilla,various,ice cream
2187,Frozen thin crust pizza - Ristorante - See in store varieties,pizza,pizza
5462,Sliced charcuterie,various,various
42617,Sliced charcuterie - see varieties in store,various,various
38920,Fresh pickles - from Quebec and / or Canada,various,various
49353,Frozen Waffles - EGGO - * Bonus 25 Points M,various,various
43086,"Big White Eggs, Grade A - Saturday 7th and Sunday 8 July Only - Limit of 2 - $ 2.49 The rest of the week or by item outside the limit",various,various
42341,Apple juice - see varieties in store,juice,juice
9467,Black Forest Smoked Ham Without Nitrite Sliced,various,various
49074,Frozen fruit - President's choice - See in-store variety,various,various
12046,Jam - Smucker's,various,various
27226,Chocolate,various,various
3334,Paper towels,various,various
26271,Chocolate and Hazelnut Spread - President's Choice,various,various
21198,Preparation for Infants - Good Start,various,various
18304,Ice cream,various,ice cream
12228,Frozen fruit - President's choice - See in-store variety,various,various
34557,Coffee in K-Cup buckets - see varieties in store,various,various
18849,Yogurt to drink - Danactive - See in store varieties,yogurt,yogurt
44035,Iced tea - limit of 4 - $ 3.99 per additional item,various,various
15767,Plain flour,various,various
5073,Ice Dessert - Classical - Limit of 2 - $ 3.49 per additional item,various,various
49260,Red Potatoes - From Quebec - Canada No 1,various,various
32927,Sliced charcuterie - see varieties in store,various,various
12380,Baguette - See Varieties In Store,various,various
42333,Refrigerated fruit juice - see varieties in store,juice,juice
47216,Natural Source Water - Pure Life,various,various
14742,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m,sausage,sausage
39661,Mounted coffee - Traditional,various,various
43597,Solid Turkey - Natural Selections,various,various
32782,Cereal - Special K - View Varieties in-store,various,various
31392,"chopped beef, skinny",various,various
46143,Black Forest Smoked Ham Without Nitrite Sliced,various,various
48182,Colorful cabbage salad,various,various
44337,Rouge delicious apples - from the United States,various,various
35855,Bacon - Original,various,various
40778,Provolone cheese,cheese,cheese
1516,Acetaminophen - Regular 325 mg,various,various
38159,Frozen fries potatoes - Superfries,various,various
2050,K-Cup coffee buckets - President's choice,various,various
27043,Black Forest Smoked Ham Without Nitrite Sliced,various,various
42858,Frozen Whipped Flooring - Cool Whip - Best Prices year,various,various
42444,Multiple Packaging Chocolate - Kat Kit,various,various
48629,Lozenges,various,various
48874,Instant rice,various,various
26738,Iced tea,various,various
10999,Green grapes without biological seeds - the United States - Category # 1,various,various
16481,Crunchy bars - Special K,bar,bar
4462,Rice - Quick & Good - View Varieties in store,various,various
33113,Peppers - Bick's - View varieties in store - * Bonus 20 points m,various,various
28230,Frozen Pizza - Trabec,pizza,pizza
48706,Cheese - mozzarellissima,cheese,cheese
17640,Perfume enhancer for laundry - unstopable,laundry,laundry
5971,Refrigerated cashew drink,various,various
12034,Frozen fruit - President's choice - See in-store variety,various,various
36716,Sliced Charcuterie - See Varieties In-store,various,various
40390,Fresh pasta - see varieties in store,various,various
47601,Apples Cortland A.C. - Du Québec - Canada of Fantasy,various,various
45099,"Acetaminophen - Complete - Cold, Cough and Influenza",various,various
13819,Frozen Whipping Pack - Cool Whip,various,various
22927,Cranberry Infused Water - PACT - See Varieties In stock,various,various
5575,Cheese Sticks - Ficello,cheese,cheese
15528,Peanut Butter - All Natural,various,various
30967,Cereal - Cinnamon Croque,various,various
41711,Dinner on the thumb,various,various
23749,Jelly - Smucker's,various,various
9413,Sparkling water - Pure Life - See in store varieties,various,various
25890,Fresh Full Chicken - Pack of 2 Units,various,various
9366,Layers - The Choice of President,various,various
15649,Ice cream - Cremerie style - See in store varieties,various,ice cream
10314,Red Potatoes - From Quebec - Canada No 1,various,various
46709,Chicken Tournedos with frozen bacon,various,various
19049,Omega 3,various,various
42969,Omega-3 - Select,various,various
4896,Beer - $ 9 Discount for 2 Caisses,various,various
18634,Honey,various,various
37565,Ice Cream With Vanilla,various,ice cream
8048,Sliced Cheese - P'tit Québec,cheese,cheese
21577,Yogurt - Mediterranean,yogurt,yogurt
16507,Draught beer,various,various
31778,Tartinade Hoummos,various,various
47937,Lawyers Hass - Mexico,various,various
26771,"Chicken, chest, boneless, skinless",various,various
40113,Organic food for baby,various,various
4232,Licorice - NIBS - See Varieties in-store,various,various
46380,Lipstick - Exhibitionist,various,various
33095,Ice Cream With Vanilla,various,ice cream
49416,Acetaminophen - Regular 325 mg,various,various
47585,Hygienic paper - Fluff,various,various
10549,Peanut Butter - Creamy and Light - Saturday 29 and Sunday 30 September only - Limit of 4 - $ 4.99 The rest of the week or by item outside the limit,various,various
27315,Disinfecting wipes,cleaning product,cleaning product
42274,Antiperspirants - see varieties in store,various,various
756,Training Panties - Easy UPS,various,various
47783,"Antiperspirants - Saturday 13 and Sunday, October 14th only - Limit of 4 - $ 3.49 The rest of the week or by article out of bound",various,various
9989,Instant Coffee - Rich - Saturday 24th and Sunday 25 November Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,various,various
15816,Biological Hass Lawyer - Mexico,various,various
32839,Antiperspirant - * Except: Platinum,various,various
39276,Baby food - see varieties in store,various,various
40756,Licorice - NIBS - See Varieties in-store,various,various
37630,Gluten-free crackers - Breton - See in store varieties,various,various
2077,Lemons,various,various
67,Honey,various,various
39557,Cake Mix - Classic,cake,cake
8311,Bleach,various,various
45747,Extra Beer - Buy 2 Caisses and get $ 15 off your grocery basket,various,various
17341,"Big White Eggs, Grade A - Saturday 2 and Sunday February 3rd - Limit of 2 - $ 2.49 The rest of the week or by article out of bound",various,various
26209,Croissant paste,various,various
33731,CREAM 10%,various,various
37880,Chocolate treats,various,various
30753,Licorice,various,various
4541,Frozen pizza,pizza,pizza
7933,Frozen Pizza - Giuseppe,pizza,pizza
14043,U-shaped buffers,hygiene product,hygiene product
13470,Chocolate treats - Aero,various,various
7293,Hamburger breads - POM - * Bonus 20 points M to the purchase of 2,various,various
5359,Ice Cream - Cremerie Style,various,ice cream
35496,Beet of Card Rainbow - Quebec,various,various
19875,Semi-Boneless Smoked Ham - Olde Fashioned,various,various
29387,Frozen thin crust pizza - Ristorante - See in store varieties,pizza,pizza
24190,Unparalleled drinks - Coca-Cola or Pepsi - Saturday 28 and Sunday 29 September only.- Limit of $ 4 - $ 4.49 per additional item - $ 4.99 The rest of the week,various,various
21663,Lemons,various,various
32466,Yogurt skyr,yogurt,yogurt
30919,Frozen waffles - EGGO,various,various
16226,Frozen breaded chicken burgers - pub style - limit of 4 - $ 6.99 per additional item,various,various
8414,Ice Cream With Vanilla,various,ice cream
24955,Chocolate,various,various
23126,Cookies - Maple Leaf,various,various
25464,"Chickpeas, canned",various,various
22451,"Rice Takers, Baby Biscotties - Baby Mum-Mum",various,various
23650,Pasta - See Varieties In stock,various,various
4298,Liquid soap for hands,various,various
45372,Lemons,various,various
16709,"Frozen Pizza - Casa di Mama - Saturday 27 and Sunday, October 28th only - Limit of 4",pizza,pizza
20704,Frozen Chicken Strips - Pub Recipe,various,various
27272,Frozen Whipping Pack - Cool Whip,various,various
17003,Cookies - weather - see varieties in store,various,various
47570,Muffins - Market Delights,various,various
45761,Cookies - Saturday 15 and Sunday 16 December only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound,various,various
46979,Wiper - Green,various,various
27126,Chocolate,various,various
41819,Cake Mix - Supermist,cake,cake
31423,sweetened condensed milk,various,various
38212,Sachered Beverage Mix - Light Crystal,various,various
5224,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry,laundry
46736,Antiperspirants - see varieties in store,various,various
1376,Yogurt - Classical,yogurt,yogurt
10814,Corn syrup - Lily White,various,various
7556,Tissue Paper - Limit of 4 - $ 6.99 per additional item,various,various
21019,"White eggs, category A - Saturday 14 and Sunday 15 September only - Limit of 2 - $ 2.29 per additional item - $ 2.49 The rest of the week",various,various
3526,Red Potatoes - From Quebec - Canada No 1,various,various
29182,Dishwasher - View Varieties In store,various,various
35091,Frozen breaded fish sticks - See in store varieties,various,various
10423,Vitamin C - 500 mg,various,various
16920,vegetables soup,various,various
41003,Shampoo - See Varieties In Store,various,various
27897,Frozen Farcie Crust Pizza,pizza,pizza
4445,spinach babies,various,various
42840,Gassed source water,various,various
33216,Gluten-free crackers - Breton - See in store varieties,various,various
39984,Italian Charcuterie - See Varieties In Store,various,various
24084,Instant Coffee - Taste's Choice - See Varieties In Store,various,various
20607,Grain Coffee - Mont-Royal Burn,various,various
37002,Chewing gum,various,various
26568,Fruit snack - GOGO SQUEZ - Lower price of the year,various,various
28080,Pellets - see varieties in store,various,various
4039,Hygienic paper - limit of 4 - $ 8.99 per additional item,various,various
30257,Styling foam,various,various
37717,Apple Compote - Free,various,various
33718,Sausages - Simply Good,sausage,sausage
21567,Cereal - Alpha-bits,various,various
12258,Bagel frozen cocks,various,various
20794,Almond Butter - Blue Menu,various,various
35951,Ice Cream With Vanilla,various,ice cream
9755,Cheese snacks - Nanö,cheese,cheese
27966,Litchis - Imported,various,various
13857,Cream Cheese - Philadelphia - See Varieties In stock,cheese,cheese
29646,Battery toothbrush - see varieties in store,various,various
24673,Sliced charcuterie - see varieties in store,various,various
26063,Frozen duck - Category Utility,various,various
26803,Sliced charcuterie - see varieties in store,various,various
2198,Sliced charcuterie - see varieties in store,various,various
15498,Cereal - Special K,various,various
8352,Capillary Color - Feria,various,various
2335,quinoa,various,various
13810,Refrigerated Beverage - Oasis Morning - See Varieties In Store,various,various
48183,Chips - Unnamed,chip,chip
6506,Gas Drink - See Varieties In Store,various,various
46060,Gas Drink - Coke Diet,various,various
3974,Cats Food - Fancy Feast - View Varieties in-store,various,various
920,Pâté with three frozen meats,various,various
9499,yellow onions,various,various
18906,Antiperspirants - see varieties in store,various,various
36906,Chocolate treatments - Hershey's - View Varieties in-store,various,various
29103,Cookie mix,various,various
19240,Fruit Drink - See Varieties In Store,various,various
5296,Hygienic paper - Fluff,various,various
42671,Provolone cheese,cheese,cheese
46692,Organic Drink - President's Choice - See Varieties In-store,various,various
20781,Brussels sprouts,various,various
20428,"Capillary Products - Frunts - Saturday, November 16th only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound",various,various
37696,Crustles - Stax - * Bonus 25 Points M Within Buying 3,various,various
3556,Frozen Meal - Slimming Kitchen,various,various
9474,Frozen Beef Bouballs - President's Choice,various,various
37354,Ice cream,various,ice cream
17731,Sliced charcuterie - see varieties in store,various,various
24283,Hygienic buffers - Pearl,hygiene product,hygiene product
39890,Max batteries,various,various
32407,Cretons - Buy 2 and get the third for free for free,various,various
44329,100% refrigerated juice mix - see varieties in store - * Bonus 20 points m,juice,juice
23273,Yogurt Nature Bio,yogurt,yogurt
46184,Ice Dessert - Classic - See Varieties In Store,various,various
49155,"chopped beef, skinny",various,various
48112,tomatoes,various,various
16137,Cereal - Special K,various,various
