id,name,final_specific_general_term
39764,Frozen duck - Category Utility,review needed
13213,Coffee Capsules - Nabob - View Varieties In Store,review needed
36676,"White eggs, big caliber - lower price of the year",review needed
17566,"salmon, net, fresh",review needed
3599,Refrigerated dessert,review needed
12811,Fruit Drink - See Varieties In Store,review needed
32667,Deodorant,review needed
19778,Biological mature - the United States and / or Mexico,review needed
25753,Yogurt - creamy - see varieties in store,review needed
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item",review needed
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound,review needed
15392,"Seasoned fish fillets, frozen - See in store varieties",review needed
46892,Cotton swabs,review needed
33825,Frozen waffles - EGGO,review needed
43889,Crunchy bars - Special K,review needed
18765,Ice Cream With Vanilla,review needed
39108,Licorice - NIBS - See Varieties in-store,licorice
1408,Bocconcini Cheese (Fresh Mozzarella),review needed
40199,Ice Cream With Vanilla,review needed
20899,Margarine with lawyer oil,review needed
6587,Collagen - Original Formula,review needed
7780,Beer in Extra cans - * Bonus 50 Points M,review needed
38884,Hygienic buffers - Pearl,review needed
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",review needed
35184,PEKOE orange tea in sachets,review needed
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,review needed
38275,Frozen thin crust pizza - rustico,review needed
5826,Crunchy peanut butter,review needed
14870,Cookies - Choco,cookies
28397,White potatoes - from Quebec,potatoes
13629,Organic Cereals - Nature's Path - See in store varieties,review needed
19019,Black chocolate snack - BARKTHINS - * BONUS 20 POINTS M,review needed
39973,Biological Hass Lawyer - Mexico,review needed
9513,Cereal - Special K,review needed
403,Antiperspirant vaporizer,medicine
39693,Fruit juice,review needed
1377,Pure honey,review needed
35336,Grain Coffee - See Varieties in Store - * Bonus 45 Points M,review needed
9604,Maple Syrup - President's Choice,review needed
48486,Crunchy bars - Special K,review needed
40063,Scented oil - save $ 1 more when buying 1 product with a good-discount in store,review needed
17600,Mined with ham,review needed
36117,Italian tomatoes,review needed
34160,Cookies - weather - see varieties in store,cookies
47209,Beans - See Varieties In Store,review needed
6571,Garlic Sticks - Giuseppe,review needed
5006,Antiperspirants - see varieties in store,medicine
23862,Apple Compote - Free,review needed
6849,U Fitness buffers,review needed
49387,Wholesale whole water melon without glitches - the United States and / or Mexico,review needed
18698,"Target - Max - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",review needed
36848,Lemons,review needed
14379,Frozen meal - Hungry-man - See in store varieties,review needed
31101,Yellow Asian Pear - China,review needed
11190,Fresh stuffed pasta,review needed
16290,Red Potatoes - From Quebec - Canada No 1,potatoes
13588,Almond Drink - Natur-A,review needed
16254,Refrigerated dessert,review needed
42536,Sliced White Mushrooms - Canada,review needed
27117,Almond Butter - Blue Menu,review needed
25904,Chopped chicken - blue menu,review needed
48742,Turkey skewers with vegetables,review needed
30683,Chicken spread,review needed
21206,Red Potatoes - From Quebec - Canada No 1,potatoes
33919,Toothbrush - twister - see varieties in store,review needed
21131,Frozen pastry - Toaster Strudel - See in store varieties,review needed
6388,Frozen pastry - Toaster Strudel - See in store varieties,review needed
46923,Greenhouse Orange Peppers - Imported,review needed
27180,Mesclun (mixed lettuce),review needed
10644,Hygienic buffers - Pearl,review needed
23461,Ice Cream - Häagen-Dazs,review needed
23203,Refrigerated fruit drink - see varieties in store,review needed
7897,Apple Compote - Free,review needed
28289,Ice Cream With Vanilla,review needed
28199,Fruit snack - fruit,review needed
24165,Jam - Smucker's,jam
13535,Bars - see varieties in store,review needed
28379,PREPARATION FOR INFANTONS - MORE START More,review needed
24838,Natural peanut butter,review needed
8573,Cats Food - Friskies - View Varieties in-store,review needed
26029,Crunchy bars - Special K,review needed
23275,Textile softening in leaves,review needed
34668,Instant Rice - See Varieties In Store,review needed
28985,"Organic NAVEL ORANGES, WITHOUT PENSION - United States - * Bonus 10 Points M",review needed
9020,Frozen chicken breast fillets,review needed
29891,Vitamin C - 500 mg,review needed
15090,Pasta - See Varieties In stock,review needed
35089,Pork Back Côtes - Lou's,review needed
9810,Ice Sweets - Drumstick,review needed
45562,Pellets - see varieties in store,review needed
15153,Honey - President's Choice - See Varieties In Store,review needed
21883,Revitalizer - * Bonus 25 Points M,review needed
38777,Litchis - Imported,review needed
27104,Cookies - Save $ 1 In addition to the purchase of 2 products with a good-discount in store,cookies
29408,sugar peas snap,review needed
26182,English muffins,review needed
16135,Whipped cream cheese - Philadelphia,review needed
28411,Frozen waffles - EGGO,review needed
4054,Tipper - Tiger - Limit of 4 - $ 6.99 per additional item,review needed
21903,Table towels - * Bonus 15 points M,review needed
44354,Vitamin C - 500 mg,review needed
33741,Cheese Cake - President's Choice - See Varieties In Store,review needed
11215,Perfume enhancer for laundry,review needed
23770,Licorice - Super Nibs - See Varieties In Store,licorice
6101,Jam - See Variety In Store,jam
36870,Organic yellow onions,review needed
36379,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
9230,Frozen Whole Duck - Brome Lake - Category A,review needed
12854,Softening textile,review needed
33816,Beets,review needed
11105,Frozen breast chest nuggets - * Get 100 air miles from buying 3,review needed
47465,Barres - Taste Mountain,review needed
15078,Eye Tracer - Infallible,review needed
28278,Eye Tracer - Infallible,review needed
31343,Laundry Detergent - Pods,review needed
6604,Half Smoked Hair Boneless - Toupie Genre,review needed
32385,Music squash - in the United States,review needed
3066,Laundry Detergent - Pods,review needed
40716,Kaiser breads,bread
35504,Craped Chicken - Packled Swimming,review needed
9480,Sure Cream - * Bonus 15 Points M,review needed
2405,Frozen breaded chicken nuggets - pub recipe,review needed
25199,mango,review needed
2421,Cats Food - Cat Chow - Save $ 1.50,review needed
28204,Capillary dye - image,review needed
24527,Red Potatoes - From Quebec - Canada No 1,potatoes
24303,kaiser bread,bread
21955,Licorice,licorice
19097,Red or White Wine - $ 6 Discount on Viniers 3-4 L - See Varieties in-store,review needed
43122,Orange juice,review needed
31997,Milk 2% - Finely filtered,review needed
18370,Hand cream,review needed
703,Body cleaner,review needed
33620,Ice Cream With Vanilla,review needed
8424,Ice Cream With Vanilla,review needed
18376,"Cookies - Maple Leaf - Buy 2 and get 1 free marshmall bag (454 g), worth $ 2.49.",cookies
29398,Organic Ground Coffee - See Varieties In Store,review needed
19706,Mozzarelissima bar,review needed
9210,Ice Cream With Vanilla,review needed
21347,paninis,review needed
2966,Biscuits - Bear legs - see varieties in store,review needed
13838,pineapple,review needed
44580,vegetable shortening,review needed
7041,Cookies - Choco,cookies
8514,Pickles,review needed
17309,Rouge delicious apples - from the United States,review needed
48071,Tomatoes - Accents - See varieties in store,review needed
23338,Cookies - Goglu,cookies
9507,rhubarbes,review needed
32560,Fresh cheese - Minigo - View Varieties in store,review needed
11041,Fruit snacks - fruit-o-long,review needed
29350,Refrigerated Juice Mix - Nature Collection,review needed
21938,Ice cream - Cremerie style - See in store varieties,review needed
37436,Disinfecting wipes,review needed
26987,Baby Cookies - Farley's - See Varieties In Store,cookies
7948,Wafers - see varieties in store,review needed
39275,"Rice - Uncle Ben's - Save $ 1 - * $ 6.49 Without Coupon - Limit of 1 Coupon by Purchase, By Customer",review needed
13853,Peanut Butter - All Natural,review needed
16445,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
38124,Salmon,review needed
2962,Baby Food - See Varieties In Store,review needed
35696,Peanut Butter,review needed
44010,Fruit Drink - View Varieties In Store,review needed
42254,Submarine breads,review needed
11844,Yogurt - Source - See Varieties in-store,review needed
13053,Refrigerated dessert,review needed
2439,Antiperspirants - see varieties in store,medicine
3522,"Refrigerated Cranberry Cocktail - Saturday, July 14th Only - Limit of 4 - $ 3.49 The rest of the week or by item outside the limit",review needed
10157,Batteries - Lower price of the year,review needed
13431,Honey,review needed
15112,Vegetable Cocktail - Garden Cocktail,review needed
43294,Peanut Butter - All Natural,review needed
39566,Brown eggs - Gros Caliber,review needed
22034,Peanut Butter - See Varieties In Store,review needed
12544,Tomato Pastry - See Varieties In Store,review needed
42469,Cheese sticks,review needed
13780,Babies Bok Choy,review needed
40180,Ice Sweets - Drumstick - View Varieties in-store,review needed
27828,Frozen thin crust pizza - rustico,review needed
16743,Frozen meal - Marie Callender's,review needed
21288,Tea - Saturday 18th and Sunday 19 January alone - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week,review needed
42701,Tissue Paper - Unnamed - Saturday 28th and Sunday 29 September only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit,tissue paper
48364,Gas Drink - Coke - See Varieties in Store - 50% off,review needed
25256,Boneless turkey chest without skin - from Quebec,review needed
24506,Toothbrush - Extra Clean - Saturday 5th and Sunday January 6th - Limit of 4 - 99 ¢ The rest of the week or by article out of bounds,review needed
9444,Hygienic paper - Fluff,review needed
44501,Antiperspirants - see varieties in store,medicine
35221,Sardines,review needed
32003,Black Forest Smoked Ham Without Nitrite Sliced,review needed
46129,Plastic Film - Unnamed,review needed
16174,Energy Bar - See Varieties In Store,review needed
49520,Batteries - max,review needed
40232,Soup Mix - Lipton,review needed
16737,Preparation for infants A + 2,review needed
30407,Mushrooms Carnesses - Canada and / or the United States,review needed
1808,Honey - Unnamed,review needed
15689,Frozen Pizza - Trabec,review needed
45960,Biological hummus - humm!- View varieties in store,review needed
14689,Candy - Werther's original,review needed
7769,Artesian water,review needed
13194,Refrigerated dessert,review needed
25133,Hand cream,review needed
48057,Cheese - Sir Laurier d'Arthabaska,review needed
20277,Green cabbage - from Quebec - Canada # 1,review needed
27735,Jam - Smucker's - * Bonus 15 Points M,jam
8006,Crunchy bars,review needed
11768,Plates,review needed
44182,Ice Cream With Vanilla,review needed
12644,Ice Cream With Vanilla,review needed
30855,Honey,review needed
27620,Slim Frozen Butter Chicken Pizza - Worldwide Flavors - See Varieties in Store,review needed
26487,Coffee Cartridges - Unnamed - See Varieties In Store,review needed
2225,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit",review needed
42650,Red Peppers of Fields - Quebec - 50% off,review needed
41690,Coffee in K-Cup buckets - McCafe,review needed
18594,Laundry Detergent - Pods,review needed
3485,Licorice - NIBS - See Varieties in-store,licorice
20785,nectarines,review needed
49140,Refrigerated dessert,review needed
6385,Refrigerated Beverage - Oasis Morning - See Varieties In Store,review needed
39815,Capillary Products - Whole Blends - See Varieties in-store,review needed
29616,Chopped of turkey chest,review needed
20738,"Peanut Butter - Creamy - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",review needed
28671,Cantaloup - from the United States,review needed
27243,Cookies - Goglu,cookies
48047,Frozen fruit - President's choice - See in-store variety,review needed
31187,Mined with ham,review needed
8368,raisin bread,review needed
35065,Licorice - NIBS - See Varieties in-store,licorice
22624,Litchis - Imported,review needed
38259,Instant Rice - See Varieties In Store,review needed
40067,Antisodorific or deodorant,review needed
24617,Green grapes without glitches - Category # 1,review needed
15703,Dishwasher - View Varieties In store,review needed
5760,Very big green peppers - from Quebec,review needed
42458,Grain Coffee - St-Denis Burning - View Varieties in Store - * Bonus 45 Points M,review needed
34256,Refrigerated fruit juice - health break,review needed
577,Cereal - Alpha-Bits - 50% discount,review needed
28342,Rice - Quick & Good - View Varieties in store,review needed
34282,Soybean spread,review needed
15285,Green grapes without glitches - California - Category # 1,review needed
18371,"Peanut Butter - Natural Crunchy - Saturday 8th and Sunday December 9th, only - Limit of 4 - $ 4.99 The rest of the week or by article out of bounds",review needed
45061,Acetaminophen - Regular 325 mg,medicine
25309,Fresh turkey chest boneless,review needed
20705,Turkey skewers with vegetables,review needed
28137,Acetaminophen - Regular 325 mg,medicine
49424,Yogurt - Classical,review needed
39201,Beer - Buy 2 Caisses and get a $ 15 reduction on your other groceries,review needed
15063,Sliced charcuterie - see varieties in store,review needed
24970,Ground Coffee - Gourmet,review needed
48498,Grape bread with cinnamon - pom,review needed
48812,Meal Set - Stackers Lunch Mate,review needed
47728,Meringue lemons tart,review needed
25758,Korean brown pears - from China,review needed
29316,Frozen duck - Category Utility,review needed
10132,Capillary Color - Beautiful Color,review needed
47258,Fresh pork net - Under vacuum packaging,review needed
32463,Soup - Gastronomy of the day,review needed
26034,Refrigerated dessert,review needed
38311,Seafood Broth Less salt - Campbell's,review needed
42447,Red Potatoes - From Quebec - Canada No 1,potatoes
26248,Lemons,review needed
1612,"Jam, jelly, marmalade, spread - see varieties in store",jam
48923,Frozen waffles - EGGO,review needed
1751,Flooded pizza - thin and crispy or blue menu - see varieties in store,review needed
37947,Treats for Dogs - Tarticking Slices,review needed
27522,Cream 35% - Ultra'Crème - * Bonus 30 Points M In purchase of 2,review needed
36389,mushrooms of Paris,review needed
7285,Instant Gruau - See Varieties In Store,review needed
37050,Brown eggs - Gros Caliber,review needed
25190,Spread,review needed
3464,Chicken for Chinese fondue,review needed
30945,Croissant,review needed
14814,Pasta without wheat / gluten free,review needed
29980,Black Forest Smoked Ham Without Nitrite Sliced,review needed
24866,Training panties,review needed
13396,Mousse,review needed
23752,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
44508,Chou-flower - the United States and / or Mexico and / or Spain - Category # 1,review needed
31986,Puree of organic apples - the choice of the president,review needed
19111,Pure maple syrup,review needed
36853,Frozen Pizza - Giuseppe,review needed
45832,Chocolates - Turtles - Saturday 23 and Sunday November 24th only!- limit of 4 - $ 8.99 the rest of the week or by article out of bounds,review needed
31326,Hygienic buffers - Pearl,review needed
24929,Seafood flavored with crab,review needed
25588,Chocolate treatments - Mini,review needed
4086,Organic red pepper - from Spain or Mexico,review needed
26278,Preparation for infants A + 2,review needed
35140,Ice Cream With Vanilla,review needed
2187,Frozen thin crust pizza - Ristorante - See in store varieties,review needed
5462,Sliced charcuterie,review needed
42617,Sliced charcuterie - see varieties in store,review needed
38920,Fresh pickles - from Quebec and / or Canada,review needed
49353,Frozen Waffles - EGGO - * Bonus 25 Points M,review needed
43086,"Big White Eggs, Grade A - Saturday 7th and Sunday 8 July Only - Limit of 2 - $ 2.49 The rest of the week or by item outside the limit",review needed
42341,Apple juice - see varieties in store,review needed
9467,Black Forest Smoked Ham Without Nitrite Sliced,review needed
49074,Frozen fruit - President's choice - See in-store variety,review needed
12046,Jam - Smucker's,jam
27226,Chocolate,review needed
3334,Paper towels,review needed
26271,Chocolate and Hazelnut Spread - President's Choice,review needed
21198,Preparation for Infants - Good Start,review needed
18304,Ice cream,review needed
12228,Frozen fruit - President's choice - See in-store variety,review needed
34557,Coffee in K-Cup buckets - see varieties in store,review needed
18849,Yogurt to drink - Danactive - See in store varieties,review needed
44035,Iced tea - limit of 4 - $ 3.99 per additional item,review needed
15767,Plain flour,review needed
5073,Ice Dessert - Classical - Limit of 2 - $ 3.49 per additional item,review needed
49260,Red Potatoes - From Quebec - Canada No 1,potatoes
32927,Sliced charcuterie - see varieties in store,review needed
12380,Baguette - See Varieties In Store,review needed
42333,Refrigerated fruit juice - see varieties in store,review needed
47216,Natural Source Water - Pure Life,review needed
14742,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m,review needed
39661,Mounted coffee - Traditional,review needed
43597,Solid Turkey - Natural Selections,review needed
32782,Cereal - Special K - View Varieties in-store,review needed
31392,"chopped beef, skinny",review needed
46143,Black Forest Smoked Ham Without Nitrite Sliced,review needed
48182,Colorful cabbage salad,review needed
44337,Rouge delicious apples - from the United States,review needed
35855,Bacon - Original,review needed
40778,Provolone cheese,review needed
1516,Acetaminophen - Regular 325 mg,medicine
38159,Frozen fries potatoes - Superfries,review needed
2050,K-Cup coffee buckets - President's choice,review needed
27043,Black Forest Smoked Ham Without Nitrite Sliced,review needed
42858,Frozen Whipped Flooring - Cool Whip - Best Prices year,review needed
42444,Multiple Packaging Chocolate - Kat Kit,review needed
48629,Lozenges,review needed
48874,Instant rice,review needed
26738,Iced tea,review needed
10999,Green grapes without biological seeds - the United States - Category # 1,review needed
16481,Crunchy bars - Special K,review needed
4462,Rice - Quick & Good - View Varieties in store,review needed
33113,Peppers - Bick's - View varieties in store - * Bonus 20 points m,review needed
28230,Frozen Pizza - Trabec,review needed
48706,Cheese - mozzarellissima,review needed
17640,Perfume enhancer for laundry - unstopable,review needed
5971,Refrigerated cashew drink,review needed
12034,Frozen fruit - President's choice - See in-store variety,review needed
36716,Sliced Charcuterie - See Varieties In-store,review needed
40390,Fresh pasta - see varieties in store,review needed
47601,Apples Cortland A.C. - Du Québec - Canada of Fantasy,review needed
45099,"Acetaminophen - Complete - Cold, Cough and Influenza",medicine
13819,Frozen Whipping Pack - Cool Whip,review needed
22927,Cranberry Infused Water - PACT - See Varieties In stock,review needed
5575,Cheese Sticks - Ficello,review needed
15528,Peanut Butter - All Natural,review needed
30967,Cereal - Cinnamon Croque,review needed
41711,Dinner on the thumb,review needed
23749,Jelly - Smucker's,review needed
9413,Sparkling water - Pure Life - See in store varieties,review needed
25890,Fresh Full Chicken - Pack of 2 Units,review needed
9366,Layers - The Choice of President,review needed
15649,Ice cream - Cremerie style - See in store varieties,review needed
10314,Red Potatoes - From Quebec - Canada No 1,potatoes
46709,Chicken Tournedos with frozen bacon,review needed
19049,Omega 3,review needed
42969,Omega-3 - Select,review needed
4896,Beer - $ 9 Discount for 2 Caisses,review needed
18634,Honey,review needed
37565,Ice Cream With Vanilla,review needed
8048,Sliced Cheese - P'tit Québec,review needed
21577,Yogurt - Mediterranean,review needed
16507,Draught beer,review needed
31778,Tartinade Hoummos,review needed
47937,Lawyers Hass - Mexico,review needed
26771,"Chicken, chest, boneless, skinless",review needed
40113,Organic food for baby,review needed
4232,Licorice - NIBS - See Varieties in-store,licorice
46380,Lipstick - Exhibitionist,review needed
33095,Ice Cream With Vanilla,review needed
49416,Acetaminophen - Regular 325 mg,medicine
47585,Hygienic paper - Fluff,review needed
10549,Peanut Butter - Creamy and Light - Saturday 29 and Sunday 30 September only - Limit of 4 - $ 4.99 The rest of the week or by item outside the limit,review needed
27315,Disinfecting wipes,review needed
42274,Antiperspirants - see varieties in store,medicine
756,Training Panties - Easy UPS,review needed
47783,"Antiperspirants - Saturday 13 and Sunday, October 14th only - Limit of 4 - $ 3.49 The rest of the week or by article out of bound",medicine
9989,Instant Coffee - Rich - Saturday 24th and Sunday 25 November Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,review needed
15816,Biological Hass Lawyer - Mexico,review needed
32839,Antiperspirant - * Except: Platinum,medicine
39276,Baby food - see varieties in store,review needed
40756,Licorice - NIBS - See Varieties in-store,licorice
37630,Gluten-free crackers - Breton - See in store varieties,review needed
2077,Lemons,review needed
67,Honey,review needed
39557,Cake Mix - Classic,review needed
8311,Bleach,review needed
45747,Extra Beer - Buy 2 Caisses and get $ 15 off your grocery basket,review needed
17341,"Big White Eggs, Grade A - Saturday 2 and Sunday February 3rd - Limit of 2 - $ 2.49 The rest of the week or by article out of bound",review needed
26209,Croissant paste,review needed
33731,CREAM 10%,review needed
37880,Chocolate treats,review needed
30753,Licorice,licorice
4541,Frozen pizza,review needed
7933,Frozen Pizza - Giuseppe,review needed
14043,U-shaped buffers,review needed
13470,Chocolate treats - Aero,review needed
7293,Hamburger breads - POM - * Bonus 20 points M to the purchase of 2,review needed
5359,Ice Cream - Cremerie Style,review needed
35496,Beet of Card Rainbow - Quebec,review needed
19875,Semi-Boneless Smoked Ham - Olde Fashioned,review needed
29387,Frozen thin crust pizza - Ristorante - See in store varieties,review needed
24190,Unparalleled drinks - Coca-Cola or Pepsi - Saturday 28 and Sunday 29 September only.- Limit of $ 4 - $ 4.49 per additional item - $ 4.99 The rest of the week,review needed
21663,Lemons,review needed
32466,Yogurt skyr,review needed
30919,Frozen waffles - EGGO,review needed
16226,Frozen breaded chicken burgers - pub style - limit of 4 - $ 6.99 per additional item,review needed
8414,Ice Cream With Vanilla,review needed
24955,Chocolate,review needed
23126,Cookies - Maple Leaf,cookies
25464,"Chickpeas, canned",review needed
22451,"Rice Takers, Baby Biscotties - Baby Mum-Mum",review needed
23650,Pasta - See Varieties In stock,review needed
4298,Liquid soap for hands,review needed
45372,Lemons,review needed
16709,"Frozen Pizza - Casa di Mama - Saturday 27 and Sunday, October 28th only - Limit of 4",review needed
20704,Frozen Chicken Strips - Pub Recipe,review needed
27272,Frozen Whipping Pack - Cool Whip,review needed
17003,Cookies - weather - see varieties in store,cookies
47570,Muffins - Market Delights,review needed
45761,Cookies - Saturday 15 and Sunday 16 December only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound,cookies
46979,Wiper - Green,review needed
27126,Chocolate,review needed
41819,Cake Mix - Supermist,review needed
31423,sweetened condensed milk,review needed
38212,Sachered Beverage Mix - Light Crystal,review needed
5224,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
46736,Antiperspirants - see varieties in store,medicine
1376,Yogurt - Classical,review needed
10814,Corn syrup - Lily White,review needed
7556,Tissue Paper - Limit of 4 - $ 6.99 per additional item,tissue paper
21019,"White eggs, category A - Saturday 14 and Sunday 15 September only - Limit of 2 - $ 2.29 per additional item - $ 2.49 The rest of the week",review needed
3526,Red Potatoes - From Quebec - Canada No 1,potatoes
29182,Dishwasher - View Varieties In store,review needed
35091,Frozen breaded fish sticks - See in store varieties,review needed
10423,Vitamin C - 500 mg,review needed
16920,vegetables soup,review needed
41003,Shampoo - See Varieties In Store,review needed
27897,Frozen Farcie Crust Pizza,review needed
4445,spinach babies,review needed
42840,Gassed source water,review needed
33216,Gluten-free crackers - Breton - See in store varieties,review needed
39984,Italian Charcuterie - See Varieties In Store,review needed
24084,Instant Coffee - Taste's Choice - See Varieties In Store,review needed
20607,Grain Coffee - Mont-Royal Burn,review needed
37002,Chewing gum,review needed
26568,Fruit snack - GOGO SQUEZ - Lower price of the year,review needed
28080,Pellets - see varieties in store,review needed
4039,Hygienic paper - limit of 4 - $ 8.99 per additional item,review needed
30257,Styling foam,review needed
37717,Apple Compote - Free,review needed
33718,Sausages - Simply Good,review needed
21567,Cereal - Alpha-bits,review needed
12258,Bagel frozen cocks,review needed
20794,Almond Butter - Blue Menu,review needed
35951,Ice Cream With Vanilla,review needed
9755,Cheese snacks - Nanö,review needed
27966,Litchis - Imported,review needed
13857,Cream Cheese - Philadelphia - See Varieties In stock,review needed
29646,Battery toothbrush - see varieties in store,review needed
24673,Sliced charcuterie - see varieties in store,review needed
26063,Frozen duck - Category Utility,review needed
26803,Sliced charcuterie - see varieties in store,review needed
2198,Sliced charcuterie - see varieties in store,review needed
15498,Cereal - Special K,review needed
8352,Capillary Color - Feria,review needed
2335,quinoa,review needed
13810,Refrigerated Beverage - Oasis Morning - See Varieties In Store,review needed
48183,Chips - Unnamed,review needed
6506,Gas Drink - See Varieties In Store,review needed
46060,Gas Drink - Coke Diet,review needed
3974,Cats Food - Fancy Feast - View Varieties in-store,review needed
920,Pâté with three frozen meats,review needed
9499,yellow onions,review needed
18906,Antiperspirants - see varieties in store,medicine
36906,Chocolate treatments - Hershey's - View Varieties in-store,review needed
29103,Cookie mix,cookies
19240,Fruit Drink - See Varieties In Store,review needed
5296,Hygienic paper - Fluff,review needed
42671,Provolone cheese,review needed
46692,Organic Drink - President's Choice - See Varieties In-store,review needed
20781,Brussels sprouts,review needed
20428,"Capillary Products - Frunts - Saturday, November 16th only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound",review needed
37696,Crustles - Stax - * Bonus 25 Points M Within Buying 3,review needed
3556,Frozen Meal - Slimming Kitchen,review needed
9474,Frozen Beef Bouballs - President's Choice,review needed
37354,Ice cream,review needed
17731,Sliced charcuterie - see varieties in store,review needed
24283,Hygienic buffers - Pearl,review needed
39890,Max batteries,review needed
32407,Cretons - Buy 2 and get the third for free for free,review needed
44329,100% refrigerated juice mix - see varieties in store - * Bonus 20 points m,review needed
23273,Yogurt Nature Bio,review needed
46184,Ice Dessert - Classic - See Varieties In Store,review needed
49155,"chopped beef, skinny",review needed
48112,tomatoes,review needed
16137,Cereal - Special K,review needed
10343,Cut Carrots (Cocktail) Organic,review needed
38730,Disinfecting wipes,review needed
6891,"Crackers - Saturday 18 and Sunday, May 19th only.",review needed
36129,Pasta - See Varieties In stock,review needed
17260,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
26905,Black Forest Smoked Ham Without Nitrite Sliced,review needed
46058,Frozen Pizza - See Varieties in Store - * Bonus 20 Points M,review needed
4391,Fridges,review needed
4332,Dietal drink,review needed
36643,Chia seeds,review needed
13027,Velvety peanut butter,review needed
12562,Sliced salami,review needed
27365,Capillary products,review needed
15591,"Batteries - Saturday, 22 and Sunday 23 June only.- Limit of 4 - $ 13.79 The rest of the week or by item outside.",review needed
42643,Frozen Pancakes - EGGO - * Bonus 15 Points M,review needed
15333,Skimmed milk - finely filtered,review needed
881,Ice Dessert - Classic - See Varieties In Store,review needed
