unique_id,name
23770,Licorice - Super Nibs - See Varieties In Store
6101,Jam - See Variety In Store
36870,Organic yellow onions
9230,Frozen Whole Duck - Brome Lake - Category A
12854,Softening textile
33816,Beets
11105,Frozen breast chest nuggets - * Get 100 air miles from buying 3
47465,Barres - Taste Mountain
15078,Eye Tracer - Infallible
31343,Laundry Detergent - Pods
6604,Half Smoked Hair Boneless - Toupie Genre
32385,Music squash - in the United States
40716,Kaiser breads
35504,Craped Chicken - Packled Swimming
9480,Sure Cream - * Bonus 15 Points M
2405,Frozen breaded chicken nuggets - pub recipe
2421,Cats Food - Cat Chow - Save $ 1.50
28204,Capillary dye - image
24303,kaiser bread
21955,Licorice
19097,Red or White Wine - $ 6 Discount on Viniers 3-4 L - See Varieties in-store
43122,Orange juice
31997,Milk 2% - Finely filtered
18370,Hand cream
703,Body cleaner
18376,"Cookies - Maple Leaf - Buy 2 and get 1 free marshmall bag (454 g), worth $ 2.49."
29398,Organic Ground Coffee - See Varieties In Store
19706,Mozzarelissima bar
21347,paninis
2966,Biscuits - Bear legs - see varieties in store
13838,pineapple
44580,vegetable shortening
8514,Pickles
17309,Rouge delicious apples - from the United States
48071,Tomatoes - Accents - See varieties in store
23338,Cookies - Goglu
9507,rhubarbes
32560,Fresh cheese - Minigo - View Varieties in store
11041,Fruit snacks - fruit-o-long
29350,Refrigerated Juice Mix - Nature Collection
21938,Ice cream - Cremerie style - See in store varieties
26987,Baby Cookies - Farley's - See Varieties In Store
7948,Wafers - see varieties in store
39275,"Rice - Uncle Ben's - Save $ 1 - * $ 6.49 Without Coupon - Limit of 1 Coupon by Purchase, By Customer"
13853,Peanut Butter - All Natural
38124,Salmon
2962,Baby Food - See Varieties In Store
35696,Peanut Butter
44010,Fruit Drink - View Varieties In Store
42254,Submarine breads
11844,Yogurt - Source - See Varieties in-store
3522,"Refrigerated Cranberry Cocktail - Saturday, July 14th Only - Limit of 4 - $ 3.49 The rest of the week or by item outside the limit"
10157,Batteries - Lower price of the year
15112,Vegetable Cocktail - Garden Cocktail
39566,Brown eggs - Gros Caliber
22034,Peanut Butter - See Varieties In Store
12544,Tomato Pastry - See Varieties In Store
42469,Cheese sticks
13780,Babies Bok Choy
16743,Frozen meal - Marie Callender's
21288,Tea - Saturday 18th and Sunday 19 January alone - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week
42701,Tissue Paper - Unnamed - Saturday 28th and Sunday 29 September only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit
48364,Gas Drink - Coke - See Varieties in Store - 50% off
25256,Boneless turkey chest without skin - from Quebec
24506,Toothbrush - Extra Clean - Saturday 5th and Sunday January 6th - Limit of 4 - 99 ¢ The rest of the week or by article out of bounds
9444,Hygienic paper - Fluff
35221,Sardines
32003,Black Forest Smoked Ham Without Nitrite Sliced
46129,Plastic Film - Unnamed
16174,Energy Bar - See Varieties In Store
49520,Batteries - max
40232,Soup Mix - Lipton
16737,Preparation for infants A + 2
30407,Mushrooms Carnesses - Canada and / or the United States
1808,Honey - Unnamed
15689,Frozen Pizza - Trabec
45960,Biological hummus - humm!- View varieties in store
14689,Candy - Werther's original
7769,Artesian water
48057,Cheese - Sir Laurier d'Arthabaska
20277,Green cabbage - from Quebec - Canada # 1
27735,Jam - Smucker's - * Bonus 15 Points M
8006,Crunchy bars
11768,Plates
27620,Slim Frozen Butter Chicken Pizza - Worldwide Flavors - See Varieties in Store
26487,Coffee Cartridges - Unnamed - See Varieties In Store
2225,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit"
42650,Red Peppers of Fields - Quebec - 50% off
41690,Coffee in K-Cup buckets - McCafe
20785,nectarines
6385,Refrigerated Beverage - Oasis Morning - See Varieties In Store
39815,Capillary Products - Whole Blends - See Varieties in-store
29616,Chopped of turkey chest
20738,"Peanut Butter - Creamy - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound"
28671,Cantaloup - from the United States
48047,Frozen fruit - President's choice - See in-store variety
8368,raisin bread
40067,Antisodorific or deodorant
24617,Green grapes without glitches - Category # 1
15703,Dishwasher - View Varieties In store
5760,Very big green peppers - from Quebec
42458,Grain Coffee - St-Denis Burning - View Varieties in Store - * Bonus 45 Points M
34256,Refrigerated fruit juice - health break
577,Cereal - Alpha-Bits - 50% discount
28342,Rice - Quick & Good - View Varieties in store
34282,Soybean spread
15285,Green grapes without glitches - California - Category # 1
18371,"Peanut Butter - Natural Crunchy - Saturday 8th and Sunday December 9th, only - Limit of 4 - $ 4.99 The rest of the week or by article out of bounds"
25309,Fresh turkey chest boneless
49424,Yogurt - Classical
39201,Beer - Buy 2 Caisses and get a $ 15 reduction on your other groceries
15063,Sliced charcuterie - see varieties in store
24970,Ground Coffee - Gourmet
48498,Grape bread with cinnamon - pom
48812,Meal Set - Stackers Lunch Mate
47728,Meringue lemons tart
25758,Korean brown pears - from China
10132,Capillary Color - Beautiful Color
47258,Fresh pork net - Under vacuum packaging
32463,Soup - Gastronomy of the day
38311,Seafood Broth Less salt - Campbell's
1612,"Jam, jelly, marmalade, spread - see varieties in store"
1751,Flooded pizza - thin and crispy or blue menu - see varieties in store
37947,Treats for Dogs - Tarticking Slices
27522,Cream 35% - Ultra'Crème - * Bonus 30 Points M In purchase of 2
36389,mushrooms of Paris
7285,Instant Gruau - See Varieties In Store
3464,Chicken for Chinese fondue
30945,Croissant
14814,Pasta without wheat / gluten free
24866,Training panties
13396,Mousse
44508,Chou-flower - the United States and / or Mexico and / or Spain - Category # 1
31986,Puree of organic apples - the choice of the president
19111,Pure maple syrup
36853,Frozen Pizza - Giuseppe
45832,Chocolates - Turtles - Saturday 23 and Sunday November 24th only!- limit of 4 - $ 8.99 the rest of the week or by article out of bounds
24929,Seafood flavored with crab
25588,Chocolate treatments - Mini
4086,Organic red pepper - from Spain or Mexico
2187,Frozen thin crust pizza - Ristorante - See in store varieties
5462,Sliced charcuterie
38920,Fresh pickles - from Quebec and / or Canada
49353,Frozen Waffles - EGGO - * Bonus 25 Points M
43086,"Big White Eggs, Grade A - Saturday 7th and Sunday 8 July Only - Limit of 2 - $ 2.49 The rest of the week or by item outside the limit"
42341,Apple juice - see varieties in store
3334,Paper towels
26271,Chocolate and Hazelnut Spread - President's Choice
21198,Preparation for Infants - Good Start
18304,Ice cream
34557,Coffee in K-Cup buckets - see varieties in store
18849,Yogurt to drink - Danactive - See in store varieties
44035,Iced tea - limit of 4 - $ 3.99 per additional item
15767,Plain flour
5073,Ice Dessert - Classical - Limit of 2 - $ 3.49 per additional item
12380,Baguette - See Varieties In Store
47216,Natural Source Water - Pure Life
14742,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m
39661,Mounted coffee - Traditional
43597,Solid Turkey - Natural Selections
32782,Cereal - Special K - View Varieties in-store
31392,"chopped beef, skinny"
48182,Colorful cabbage salad
35855,Bacon - Original
40778,Provolone cheese
38159,Frozen fries potatoes - Superfries
2050,K-Cup coffee buckets - President's choice
42858,Frozen Whipped Flooring - Cool Whip - Best Prices year
42444,Multiple Packaging Chocolate - Kat Kit
48629,Lozenges
48874,Instant rice
26738,Iced tea
10999,Green grapes without biological seeds - the United States - Category # 1
33113,Peppers - Bick's - View varieties in store - * Bonus 20 points m
48706,Cheese - mozzarellissima
17640,Perfume enhancer for laundry - unstopable
5971,Refrigerated cashew drink
36716,Sliced Charcuterie - See Varieties In-store
40390,Fresh pasta - see varieties in store
47601,Apples Cortland A.C. - Du Québec - Canada of Fantasy
13819,Frozen Whipping Pack - Cool Whip
22927,Cranberry Infused Water - PACT - See Varieties In stock
5575,Cheese Sticks - Ficello
30967,Cereal - Cinnamon Croque
41711,Dinner on the thumb
23749,Jelly - Smucker's
9413,Sparkling water - Pure Life - See in store varieties
25890,Fresh Full Chicken - Pack of 2 Units
9366,Layers - The Choice of President
46709,Chicken Tournedos with frozen bacon
19049,Omega 3
42969,Omega-3 - Select
4896,Beer - $ 9 Discount for 2 Caisses
8048,Sliced Cheese - P'tit Québec
21577,Yogurt - Mediterranean
16507,Draught beer
31778,Tartinade Hoummos
47937,Lawyers Hass - Mexico
26771,"Chicken, chest, boneless, skinless"
40113,Organic food for baby
46380,Lipstick - Exhibitionist
10549,Peanut Butter - Creamy and Light - Saturday 29 and Sunday 30 September only - Limit of 4 - $ 4.99 The rest of the week or by item outside the limit
756,Training Panties - Easy UPS
47783,"Antiperspirants - Saturday 13 and Sunday, October 14th only - Limit of 4 - $ 3.49 The rest of the week or by article out of bound"
9989,Instant Coffee - Rich - Saturday 24th and Sunday 25 November Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound
32839,Antiperspirant - * Except: Platinum
39276,Baby food - see varieties in store
37630,Gluten-free crackers - Breton - See in store varieties
39557,Cake Mix - Classic
8311,Bleach
45747,Extra Beer - Buy 2 Caisses and get $ 15 off your grocery basket
17341,"Big White Eggs, Grade A - Saturday 2 and Sunday February 3rd - Limit of 2 - $ 2.49 The rest of the week or by article out of bound"
26209,Croissant paste
37880,Chocolate treats
4541,Frozen pizza
14043,U-shaped buffers
13470,Chocolate treats - Aero
7293,Hamburger breads - POM - * Bonus 20 points M to the purchase of 2
5359,Ice Cream - Cremerie Style
35496,Beet of Card Rainbow - Quebec
19875,Semi-Boneless Smoked Ham - Olde Fashioned
24190,Unparalleled drinks - Coca-Cola or Pepsi - Saturday 28 and Sunday 29 September only.- Limit of $ 4 - $ 4.49 per additional item - $ 4.99 The rest of the week
32466,Yogurt skyr
16226,Frozen breaded chicken burgers - pub style - limit of 4 - $ 6.99 per additional item
23126,Cookies - Maple Leaf
25464,"Chickpeas, canned"
22451,"Rice Takers, Baby Biscotties - Baby Mum-Mum"
4298,Liquid soap for hands
16709,"Frozen Pizza - Casa di Mama - Saturday 27 and Sunday, October 28th only - Limit of 4"
20704,Frozen Chicken Strips - Pub Recipe
47570,Muffins - Market Delights
45761,Cookies - Saturday 15 and Sunday 16 December only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound
46979,Wiper - Green
41819,Cake Mix - Supermist
31423,sweetened condensed milk
38212,Sachered Beverage Mix - Light Crystal
10814,Corn syrup - Lily White
7556,Tissue Paper - Limit of 4 - $ 6.99 per additional item
21019,"White eggs, category A - Saturday 14 and Sunday 15 September only - Limit of 2 - $ 2.29 per additional item - $ 2.49 The rest of the week"
35091,Frozen breaded fish sticks - See in store varieties
16920,vegetables soup
41003,Shampoo - See Varieties In Store
27897,Frozen Farcie Crust Pizza
4445,spinach babies
42840,Gassed source water
39984,Italian Charcuterie - See Varieties In Store
24084,Instant Coffee - Taste's Choice - See Varieties In Store
20607,Grain Coffee - Mont-Royal Burn
26568,Fruit snack - GOGO SQUEZ - Lower price of the year
4039,Hygienic paper - limit of 4 - $ 8.99 per additional item
30257,Styling foam
33718,Sausages - Simply Good
21567,Cereal - Alpha-bits
12258,Bagel frozen cocks
9755,Cheese snacks - Nanö
13857,Cream Cheese - Philadelphia - See Varieties In stock
29646,Battery toothbrush - see varieties in store
8352,Capillary Color - Feria
2335,quinoa
48183,Chips - Unnamed
6506,Gas Drink - See Varieties In Store
46060,Gas Drink - Coke Diet
3974,Cats Food - Fancy Feast - View Varieties in-store
920,Pâté with three frozen meats
9499,yellow onions
36906,Chocolate treatments - Hershey's - View Varieties in-store
29103,Cookie mix
46692,Organic Drink - President's Choice - See Varieties In-store
20781,Brussels sprouts
20428,"Capillary Products - Frunts - Saturday, November 16th only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound"
37696,Crustles - Stax - * Bonus 25 Points M Within Buying 3
3556,Frozen Meal - Slimming Kitchen
9474,Frozen Beef Bouballs - President's Choice
39890,Max batteries
32407,Cretons - Buy 2 and get the third for free for free
44329,100% refrigerated juice mix - see varieties in store - * Bonus 20 points m
23273,Yogurt Nature Bio
46184,Ice Dessert - Classic - See Varieties In Store
48112,tomatoes
10343,Cut Carrots (Cocktail) Organic
6891,"Crackers - Saturday 18 and Sunday, May 19th only."
46058,Frozen Pizza - See Varieties in Store - * Bonus 20 Points M
4391,Fridges
4332,Dietal drink
36643,Chia seeds
13027,Velvety peanut butter
12562,Sliced salami
27365,Capillary products
15591,"Batteries - Saturday, 22 and Sunday 23 June only.- Limit of 4 - $ 13.79 The rest of the week or by item outside."
42643,Frozen Pancakes - EGGO - * Bonus 15 Points M
15333,Skimmed milk - finely filtered
39017,Strike Milk - See Varieties In Store
32665,Skim milk - Purfiltre
18352,Pale tuna
38368,mozzarella cheese
8926,Probiotic Yogurt - Activia
10251,Greek Greek Yogurt - See Varieties In Store
188,Meal kit - see varieties in store
16797,Biscuits - Bear Paws - Buy 2 and Get FREE 1 Bear Craquins Paws
16349,Frozen Chicken Chest Burgers - Pub Style
11193,Butter
7905,"Hygienic paper - Original - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit"
22308,Frozen fish fillets - Japd by the day - see varieties in store
27380,Chip
18200,Apple juice
4600,Probiotic Kefir - Original
15207,Rinse Agent - Jet Dry - * Bonus 40 Points M
10310,Instant Coffee - Taste's Choice - * Bonus 20 Points M
37158,Facial Moisturizers - Complete
4898,Frozen Hot Chicken Pâté
4037,Campaign Pipe - See Varieties In Store
16518,Cheese without lactose - see varieties in store
45566,Nature chicken strips
8755,Frozen Eaglefin Nets - Market Cups
23181,Juices - Assorted flavors
28806,Yogurt
48035,fruit yogurt
23043,Cheese snack
6664,Cereal - See Varieties In store
32096,Flavored pale tuna
24622,Frozen fish sticks
19354,Peanut butter - creamy and light - Saturday 17 and Sunday 18 August only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit
11404,Rice
12986,Peanut Butter - All Natural - Sea Salt
37865,Oil jelly
47866,Fridges Ice - Popsicle
25017,Soybean Drink - Natur-A
7639,Cream 35%
11350,Frozen garlic bread
22326,Tart crust Two crusts with deep vegetable pies frozen
1631,"Silved charcuteries - Buy 3 and get 30 air miles as a premium.Friday, December 7th only."
19054,Cheese - Bocconcini
35508,Tissue Paper - Choice of President - Limit of 4 - $ 5.99 per additional item
24643,Syrup for chocolate milk - Nesquik
38448,Liquid soap
21743,Salad Sauce - Miracle Whip
14191,Middle Green Cabbage - Quebec - Canada # 1
15348,"Capillary color - Beautiful Color - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit"
40299,Coffee in organic and fair grains
3593,GASED MINERAL WATER
32156,waffles
2748,Hygienic paper - limit of 4 - $ 7.99 per additional item
32446,Hot medicine for coughs and colds - neocitran - see varieties in store
35004,Slicing cheese
34423,Cuvette cleaner
3172,Skin care products
35522,UHT milk - Chokéo - See in store varieties
25860,Cat Food - Friskies
7399,Biscuits - Snak PAKS
17099,Tissue Papers - Pack of 6 Boxes
49633,Bar - Protilife - See Varieties in-store
14992,Frozen Chicken Wings - President's Choice
34358,Grape Bread - Old Moulin
5423,Sour cream
6673,Roman lettuces
769,Mango Ataulfo - Mexico
29418,Red Mango - Imported
39832,Beans
23368,Thin and crisp pizza - President's choice
21334,Sandwich or snack bags - Unnamed
23756,Creamy and light peanut butter
16997,Frozen Pizza - Ristorante - View Varieties in-store - Limit of 3 - Saturday 7 and Sunday December 8th
28628,"Peanut Butter - Natural Crunchy - Saturday, November 10th Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound"
7785,Red Delicious Apples - Quebec - Canada of Fantasy
43691,Peanut Butter - Blue Menu
16593,Table towels - Unnamed
40878,Chocolate treats - Kisses
33694,Milk 2% lactose-free
6948,cannelloni
10892,"Cookies - Saturday, October 19th only.- Limit of 4 - 3.49 by additional article"
3856,Natural peanut butter with salt
29752,Snatcher
42828,Peanut Butter - Natural Crunchy - Saturday 29th and Sunday 30 December only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound
9458,Mini-Cakes - Annette's - See Varieties in-store
40020,Raisins Tomatoes - Quebec and / or Mexico - Category # 1
27772,Red or black plums
15824,Frozen vegetables - President's choice
21908,"Turkey Hachis - Irresistibles, Wellness"
12289,Cottage cheese
28479,Juice at 100% - Nutrisource - View Varieties in-store
38273,Powder preparation with Omega for Nurtures - The Choice of President - See Varieties in Store - at Maxi & Cie only
4674,"Peanut butter - crunchy - Saturday 7 and Sunday, December 8th only!- limit of 4 - $ 4.99 the rest of the week or by article out of bounds"
49508,Drink - Natur-A - See Varieties in store
11182,Toothpaste - 3D White
46994,Biological yogurt
24422,Panated cheese sticks
44632,Barbecue chicken - President's choice
32047,"Green apples, Granny Smith"
46996,fisheries
8468,Ice Cream - Lactose Free
11210,Yellow greenhouse peppers - from Canada and / or Mexico and / or Honduras
27555,Chips - Saturday 27 and Sunday 28 April only - Limit of 4 - $ 4.49 The rest of the week or by article out of bounds
9047,Apples - Quebec and / or the United States and / or imported - see varieties in store
4847,Evaporated Milk - Carnation
3847,Frozen Chicken Chest Burgers - Premium
39083,Jam
36191,Chocolate bars
10116,broccoli
46294,"Apples naturally imperfect, category # 2 - Quebec"
23405,Bars
47626,Madeleines
31701,Fragrant oil
40294,Beer - Mexico Beers - * Bonus 50 Points M
3754,Teaser
33654,Tartier Cheese - Cheez Whiz
2383,Pale tuna - Ocean's
37036,Organic Beverage - Natur-A
30175,Frozen Oven Lift Pizza - See Varieties In Store
31915,Celery - the United States and / or Mexico - Category # 1
3168,Acetaminophen - 500 mg Fast Action
39657,Partially skimmed milk 1% - Purfiltr
22808,tortillas
5251,Energy Bars - Clif - View Varieties In-store
47222,English cucumber - Mexico - Category # 1
39758,Small White Potatoes - From Quebec - Canada No 1
47145,fennels
22263,Frozen Pizza - Slim and Crispy Crust - Saturday 29th and Sunday 30 June Only - Limit of 4 - $ 4.99 per additional item
35055,Cookies - Maxi Fruits - See Varieties In Store
13637,Pea
150,Peanut Butter - Whipped
18569,Roast French unparalleled
31378,Lasagna Pasta - Smart
30471,Cream 35% - Ultra'creme
4664,Tomatoes on the vineyard - of Quebec
23728,Green Beans - Mexico or Guatemala
48220,entire turkey
9593,Toothpaste - MaxFris - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit
36123,Chocolate Tablet - Swiss Classic - View Varieties in Store - Best Prices Year
19705,Fresh Atlantic salmon fillet
1541,Chocolate Tablets - Lindor
40058,Sliced charcuterie - Splendido - See in store varieties
38426,Frozen Pacific Wild Pink Salmon Fillet
21298,oka cheese
13365,Yogurt to drink - Iögo
43352,Red Grapes without glitches - California - Category # 1
48437,Greek Yogurt - Oikos
38796,Soup - Vegetables
8246,All-purpose flour - embodie xxx
25387,Meatballs
14297,Jam - blue menu - see varieties in store
26505,Fridges - Hershey's
14985,Bars - Special K - View Varieties In-store
18709,Frozen meal - President's choice - See Varieties in-store
28261,Fresh chicken wings
45204,Raisins and cinnamon bread
9871,Green Onions - Mexico
28715,Mascara - voluminous
14267,"Peanut butter - Natural crunchy - Saturday 23 and Sunday, November 24th only!- limit of 4 - $ 4.99 the rest of the week or by article out of bounds"
9825,Biscuits - see varieties in store
45094,Frozen lemonade
49248,Soup - Chunky
3518,Tea in sachets - Orange PEKOE
49271,Veggie slices
37511,Dry Sausage - Craftsman - View Varieties In-store
10978,Chocolate syrup - Nesquik
13948,Frozen chicken wings
11984,Craquins - Breton Artisanal
23330,Smoothie - Iögo - View varieties in store <
46521,cracker
34619,Retouch-Research - Root Touch-Up
17584,Peanut Butter - Crunchy - Saturday 8th and Sunday 9 December only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound
45762,Laundry Detergent in Capsules - Pods
20181,"pork, nets"
23456,Fruit Cocktail - President's Choice
45362,Grignotignes - See Varieties In Store
45863,Craquins - Vinta - See Varieties In stock
40104,Mouthwash - Classic
5334,Partially skimmed milk 2%
3516,Yogurt Balkan - Original - See Varieties In stock
24830,Meal set
13176,Smoke chicken sausages
43390,Frozen sailor shell
24508,Hand Soap - See Varieties In Store
19609,Green Beans - United States
46109,Chocolate Breaks - The Decadent
27045,Probiotic Drink - Danactive
13378,Hygienic stamps - Saturday 20th and Sunday 21 April only - Limit of 4 - $ 7.99 The rest of the week or by article out of bound
34311,Appetizer - * bonus 35 points m to buy 2
47025,White eggs
19364,Cupcakes
17326,Parchment paper
5680,Hearts of Romaine Lettuce - Quebec - Ordinary price: $ 3.49
8103,Toothpaste - Pro-Health
48679,Coffee Cream - See Varieties In Store
37646,"Gas Drink - 7-Up, 7-Up Diet"
6467,Fondal Cheese Preparation - Velveeta - * Bonus 30 Points M
26105,"Fresh chicken breast boneless, skinless"
17140,Hot Chocolate Mix - Carnation
20600,Baby Baby Toiletries - See Varieties In Store
1267,Liver block - View varieties in store
41750,Cranberry cocktail
3861,Coffee in Capsules - Nabob
47658,Wind flights
3607,"Cereal - Buy 1 and get 1 GENERAL GENERAL MILLS LUCKY FRUITY CHARMS Box (340 g), Trix (303 g).Value of $ 3.99"
15937,Pediatric nutritional supplement - Pediasure - See varieties in store - at Maxi & Cie only
37215,Frozen puff pastry
4839,"Refrigerated Orange Juice, with Pulps - Premium - Limit of 4 - $ 3.99 per additional item"
8518,"Ice bars - Saturday, January 26th only.- Limit of $ 2 - $ 2.99 per additional item."
42556,Peanut Butter - Natural - See Varieties In Store
4797,Mascara - Great Lash
33274,Biological Fisheries - California - Category # 1
21380,Chips - Saturday 17 and Sunday 18 August only.- $ 3.79 the rest of the week
35264,Cheese Bar - P'tit Québec - View Varieties in-store
22340,Wiper - President's Choice
5337,Nail Polish - Xtreme Wear
35737,Hygienic paper - Selection
46953,Lash Liquid Detergent - Simply - Saturday 12th and Sunday May 13th Only - Limit of 4 - $ 3.99 The rest of the week or by article out of bounds
17183,Frozen fruit
16363,Yogurt to drink - Kik - View Varieties in store
45700,Cats Food - Proactive Health
35267,Gluten-free walnut butter - NUTS TO YOU - View varieties in store
47371,banana
49408,Frozen breaded chicken tabs
5020,Chocolate Tablets - Swiss Classic
994,Hamburger breads - see varieties in store
13205,Instant Rice - Express Bistro - View Varieties in-store
4557,Chocolate treats - Mini Eggs
24964,Chewing gum - 4 box packs
20736,Multivitamins - Men 50+ - Saturday 27 and Sunday 28 April only - Limit of 4 - $ 16.99 The rest of the week or by article out of bound
31467,Frozen Cake - Deep'n Delicious
