unique_id,name,category
20738,"Peanut Butter - Creamy - Saturday, February 16th only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",Peanut Butter
28671,Cantaloup - from the United States,Cantaloup
48047,Frozen fruit - President's choice - See in-store variety,Frozen fruit
8368,raisin bread,Bread
40067,Antisodorific or deodorant,Deodrant
24617,Green grapes without glitches - Category # 1,Grapes
15703,Dishwasher - View Varieties In store,Dishwasher
5760,Very big green peppers - from Quebec,Peppers
42458,Grain Coffee - St-Denis Burning - View Varieties in Store - * Bonus 45 Points M,Coffee
34256,Refrigerated fruit juice - health break,Juice
577,Cereal - Alpha-Bits - 50% discount,Cereals
28342,Rice - Quick & Good - View Varieties in store,Rice
34282,Soybean spread,Spread
15285,Green grapes without glitches - California - Category # 1,Grapes
18371,"Peanut Butter - Natural Crunchy - Saturday 8th and Sunday December 9th, only - Limit of 4 - $ 4.99 The rest of the week or by article out of bounds",Peanut Butter
25309,Fresh turkey chest boneless,Turkey 
49424,Yogurt - Classical,Yogurt
39201,Beer - Buy 2 Caisses and get a $ 15 reduction on your other groceries,Beer
15063,Sliced charcuterie - see varieties in store,Sliced charcuterie
24970,Ground Coffee - Gourmet,Coffee
48498,Grape bread with cinnamon - pom,Bread
48812,Meal Set - Stackers Lunch Mate,Meal Set
47728,Meringue lemons tart,Lemons
25758,Korean brown pears - from China,Pears
10132,Capillary Color - Beautiful Color,Stationary
47258,Fresh pork net - Under vacuum packaging,Pork
32463,Soup - Gastronomy of the day,Soup
38311,Seafood Broth Less salt - Campbell's,Fish
1612,"Jam, jelly, marmalade, spread - see varieties in store",Spread
1751,Flooded pizza - thin and crispy or blue menu - see varieties in store,Pizza Frozen thin crust
37947,Treats for Dogs - Tarticking Slices,Dog Food
27522,Cream 35% - Ultra'Crème - * Bonus 30 Points M In purchase of 2,Cream
36389,mushrooms of Paris,mushrooms
7285,Instant Gruau - See Varieties In Store,Instant Gruau
3464,Chicken for Chinese fondue,Chicken
30945,Croissant,Croissant
14814,Pasta without wheat / gluten free,Pasta
24866,Training panties,Personal Care
13396,Mousse,Dessert
44508,Chou-flower - the United States and / or Mexico and / or Spain - Category # 1,Chou-flower
31986,Puree of organic apples - the choice of the president,Apple
19111,Pure maple syrup,Maple Syrup
36853,Frozen Pizza - Giuseppe,Frozen Pizza
45832,Chocolates - Turtles - Saturday 23 and Sunday November 24th only!- limit of 4 - $ 8.99 the rest of the week or by article out of bounds,Chocolates
24929,Seafood flavored with crab,Seafood
25588,Chocolate treatments - Mini,Chocolate
4086,Organic red pepper - from Spain or Mexico,Peppers
2187,Frozen Pizza - Ristorante - See in store varieties,Frozen pizza
5462,Sliced charcuterie,Sliced
38920,Fresh pickles - from Quebec and / or Canada,Pickles
49353,Frozen Waffles - EGGO - * Bonus 25 Points M,Frozen Waffles
43086,"Big White Eggs, Grade A - Saturday 7th and Sunday 8 July Only - Limit of 2 - $ 2.49 The rest of the week or by item outside the limit",Egg
42341,Apple juice - see varieties in store,Juice
3334,Paper towels, Paper towels
26271,Chocolate and Hazelnut Spread - President's Choice,Spread
21198,Preparation for Infants - Good Start,Baby food
18304,Ice cream,Ice Cream
34557,Coffee in K-Cup buckets - see varieties in store,Coffee
18849,Yogurt to drink - Danactive - See in store varieties,Yogurt 
44035,Iced tea - limit of 4 - $ 3.99 per additional item,Tea
15767,Plain flour,Flour
5073,Ice Dessert - Classical - Limit of 2 - $ 3.49 per additional item,Ice Cream
12380,Baguette - See Varieties In Store,Baguette
47216,Natural Source Water - Pure Life,Water
14742,Smoked sausages coated with frozen dough - Original - * 50 Points Bonus m,Sausages
39661,Mounted coffee - Traditional,Coffee
43597,Solid Turkey - Natural Selections,Turkey 
32782,Cereal - Special K - View Varieties in-store,Cereal
31392,"chopped beef, skinny",Beef
48182,Colorful cabbage salad,Cabbage
35855,Bacon - Original,Bacon
40778,Provolone cheese,Cheese
38159,Frozen fries potatoes - Superfries,Frozen fries potatoes
2050,K-Cup coffee buckets - President's choice,Coffee
42858,Frozen Whipped Flooring - Cool Whip - Best Prices year,Frozen Whipped Flooring
42444,Multiple Packaging Chocolate - Kat Kit,Chocolate
48629,Lozenges,Lozenges
48874,Instant rice,Rice
26738,Iced tea,Tea
10999,Green grapes without biological seeds - the United States - Category # 1,Grapes
33113,Peppers - Bick's - View varieties in store - * Bonus 20 points m,Peppers
48706,Cheese - mozzarellissima,Cheese
17640,Perfume enhancer for laundry - unstopable,Laundry Detergent
5971,Refrigerated cashew drink,Drinks
36716,Sliced Charcuterie - See Varieties In-store,Sliced Charcuterie
40390,Fresh pasta - see varieties in store,Pasta
47601,Apples Cortland A.C. - Du Québec - Canada of Fantasy,Apples
13819,Frozen Whipping Pack - Cool Whip,Frozen Whipping Pack
22927,Cranberry Infused Water - PACT - See Varieties In stock,Water
5575,Cheese Sticks - Ficello,Cheese
30967,Cereal - Cinnamon Croque,Cereal
41711,Dinner on the thumb,Dinner
23749,Jelly - Smucker's,Jelly
9413,Sparkling water - Pure Life - See in store varieties,Water
25890,Fresh Full Chicken - Pack of 2 Units,Chicken
9366,Layers - The Choice of President,Layers
46709,Chicken Tournedos with frozen bacon,Chicken
19049,Omega 3,Bacon
42969,Omega-3 - Select,Omega-3
4896,Beer - $ 9 Discount for 2 Caisses,Beer
8048,Sliced Cheese - P'tit Québec,Cheese
21577,Yogurt - Mediterranean,Yogurt
16507,Draught beer,Beer
31778,Tartinade Hoummos,Tartinade
47937,Lawyers Hass - Mexico,Lawyers Hass
26771,"Chicken, chest, boneless, skinless",Chicken
40113,Organic food for baby,Baby food
46380,Lipstick - Exhibitionist,Lipstick
10549,Peanut Butter - Creamy and Light - Saturday 29 and Sunday 30 September only - Limit of 4 - $ 4.99 The rest of the week or by item outside the limit,Peanut Butter
756,Training Panties - Easy UPS,Personal Care
47783,"Antiperspirants - Saturday 13 and Sunday, October 14th only - Limit of 4 - $ 3.49 The rest of the week or by article out of bound",Medicine
9989,Instant Coffee - Rich - Saturday 24th and Sunday 25 November Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,Coffee
32839,Antiperspirant - * Except: Platinum,Medicine
39276,Baby food - see varieties in store,Baby food
37630,Gluten-free crackers - Breton - See in store varieties,Cookies
39557,Cake Mix - Classic,Cake Mix
8311,Bleach,Laundry Detergent
45747,Extra Beer - Buy 2 Caisses and get $ 15 off your grocery basket,Beer
17341,"Big White Eggs, Grade A - Saturday 2 and Sunday February 3rd - Limit of 2 - $ 2.49 The rest of the week or by article out of bound",Egg
26209,Croissant paste,Croissant
37880,Chocolate treats,Chocolate
4541,Frozen pizza,Frozen Pizza
14043,U-shaped buffers,
13470,Chocolate treats - Aero,Chocolate
7293,Hamburger breads - POM - * Bonus 20 points M to the purchase of 2,Bread
5359,Ice Cream - Cremerie Style,Ice Cream
35496,Beet of Card Rainbow - Quebec,Beer
19875,Semi-Boneless Smoked Ham - Olde Fashioned,Ham
24190,Unparalleled drinks - Coca-Cola or Pepsi - Saturday 28 and Sunday 29 September only.- Limit of $ 4 - $ 4.49 per additional item - $ 4.99 The rest of the week,Drinks
32466,Yogurt skyr,Yogurt
16226,Frozen breaded chicken burgers - pub style - limit of 4 - $ 6.99 per additional item,Frozen Chicken
23126,Cookies - Maple Leaf,Cookies
25464,"Chickpeas, canned",Chickpeas
22451,"Rice Takers, Baby Biscotties - Baby Mum-Mum",Rice
4298,Liquid soap for hands,Soap
16709,"Frozen Pizza - Casa di Mama - Saturday 27 and Sunday, October 28th only - Limit of 4",Frozen Pizza
20704,Frozen Chicken Strips - Pub Recipe,Frozen Chicken
47570,Muffins - Market Delights,Muffins
45761,Cookies - Saturday 15 and Sunday 16 December only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound,Cookies
46979,Wiper - Green,Wiper
41819,Cake Mix - Supermist,Cake Mix
31423,sweetened condensed milk,Milk
38212,Sachered Beverage Mix - Light Crystal,Sachered Beverage Mix
10814,Corn syrup - Lily White,Corn syrup
7556,Tissue Paper - Limit of 4 - $ 6.99 per additional item,Tissue Paper
21019,"White eggs, category A - Saturday 14 and Sunday 15 September only - Limit of 2 - $ 2.29 per additional item - $ 2.49 The rest of the week",Egg
35091,Frozen breaded fish sticks - See in store varieties,Frozen breaded fish sticks
16920,vegetables soup,vegetables
41003,Shampoo - See Varieties In Store,Shampoo
27897,Frozen Farcie Crust Pizza,Frozen Pizza
4445,spinach babies,spinach
42840,Gassed source water,Water
39984,Italian Charcuterie - See Varieties In Store,Italian Charcuterie
24084,Instant Coffee - Taste's Choice - See Varieties In Store,Coffee
20607,Grain Coffee - Mont-Royal Burn,Coffee
26568,Fruit snack - GOGO SQUEZ - Lower price of the year,Fruit snack
4039,Hygienic paper - limit of 4 - $ 8.99 per additional item,Toilet paper
30257,Styling foam,Personal Care
33718,Sausages - Simply Good,Sausages
21567,Cereal - Alpha-bits,Cereal
12258,Bagel frozen cocks,Snacks
9755,Cheese snacks - Nanö,Snacks
13857,Cream Cheese - Philadelphia - See Varieties In stock,Cheese
29646,Battery toothbrush - see varieties in store,Toothbrush
8352,Capillary Color - Feria,Stationary
2335,quinoa,quinoa
48183,Chips - Unnamed,Chips
6506,Gas Drink - See Varieties In Store,Juices
46060,Gas Drink - Coke Diet,Juices
3974,Cats Food - Fancy Feast - View Varieties in-store,Cats Food
920,Pâté with three frozen meats,Frozen Beef
9499,yellow onions,Onions
36906,Chocolate treatments - Hershey's - View Varieties in-store,Chocolate 
29103,Cookie mix,Cookies
46692,Organic Drink - President's Choice - See Varieties In-store,Drinks
20781,Brussels sprouts,vegetables
20428,"Capillary Products - Frunts - Saturday, November 16th only - Limit of 4 - $ 2.99 The rest of the week or by article out of bound",Stationary
37696,Crustles - Stax - * Bonus 25 Points M Within Buying 3,Crustles
3556,Frozen Meal - Slimming Kitchen,Frozen Meal
9474,Frozen Beef Bouballs - President's Choice,Frozen Beef Bouballs
39890,Max batteries,Batteries
32407,Cretons - Buy 2 and get the third for free for free,Cretons
44329,100% refrigerated juice mix - see varieties in store - * Bonus 20 points m,Juices
23273,Yogurt Nature Bio,Yogurt
46184,Ice Dessert - Classic - See Varieties In Store,Ice Cream
48112,tomatoes,Tomatoes
10343,Cut Carrots (Cocktail) Organic,Carrots
6891,"Crackers - Saturday 18 and Sunday, May 19th only.",Crackers
46058,Frozen Pizza - See Varieties in Store - * Bonus 20 Points M,Frozen Pizza
4391,Fridges,Fridges
4332,Dietal drink,Drinks
36643,Chia seeds,Chia Seed
13027,Velvety peanut butter,Peanut butter
12562,Sliced salami,Fish
27365,Capillary products,Stationary
15591,"Batteries - Saturday, 22 and Sunday 23 June only.- Limit of 4 - $ 13.79 The rest of the week or by item outside.",Batteries
42643,Frozen Pancakes - EGGO - * Bonus 15 Points M,Frozen Pancakes
15333,Skimmed milk - finely filtered,Milk
39017,Strike Milk - See Varieties In Store,Milk
32665,Skim milk - Purfiltre,Milk
18352,Pale tuna,Fisgh
38368,mozzarella cheese,Cheese
8926,Probiotic Yogurt - Activia,Yogurt
10251,Greek Greek Yogurt - See Varieties In Store,Yogurt
188,Meal kit - see varieties in store,Meal kit
16797,Biscuits - Bear Paws - Buy 2 and Get FREE 1 Bear Craquins Paws,Biscuits
16349,Frozen Chicken Chest Burgers - Pub Style,Frozen Chicken
11193,Butter,Butter
7905,"Hygienic paper - Original - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",Hygienic paper
22308,Frozen fish fillets - Japd by the day - see varieties in store,Frozen fish 
27380,Chip,Chips
18200,Apple juice,Juices
4600,Probiotic Kefir - Original,Probiotic Kefir
15207,Rinse Agent - Jet Dry - * Bonus 40 Points M,Laundry Detergent
10310,Instant Coffee - Taste's Choice - * Bonus 20 Points M,Coffee
37158,Facial Moisturizers - Complete,Personal Care
4898,Frozen Hot Chicken Pâté,Frozen Chicken
4037,Campaign Pipe - See Varieties In Store,Campaign Pipe
16518,Cheese without lactose - see varieties in store,Cheese
45566,Nature chicken strips,Chickdn
8755,Frozen Eaglefin Nets - Market Cups,Frozen Eaglefin Nets
23181,Juices - Assorted flavors,Juices
28806,Yogurt,Yogurt
48035,fruit yogurt,Yogurt
23043,Cheese snack,Cheese
6664,Cereal - See Varieties In store,Cereal
32096,Flavored pale tuna,Fish
24622,Frozen fish sticks,Fish
19354,Peanut butter - creamy and light - Saturday 17 and Sunday 18 August only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit,Peanut butter
11404,Rice,Rice
12986,Peanut Butter - All Natural - Sea Salt,Peanut Butter
37865,Oil jelly,Oil
47866,Fridges Ice - Popsicle,Ice Cream
25017,Soybean Drink - Natur-A,Drinks
7639,Cream 35%,Cream
11350,Frozen garlic bread,Bread
22326,Tart crust Two crusts with deep vegetable pies frozen,Tart
1631,"Silved charcuteries - Buy 3 and get 30 air miles as a premium.Friday, December 7th only.",Silved charcuteries
19054,Cheese - Bocconcini,Cheese
35508,Tissue Paper - Choice of President - Limit of 4 - $ 5.99 per additional item,Tissue Paper
24643,Syrup for chocolate milk - Nesquik,Chocolate Milk
38448,Liquid soap,Soap
21743,Salad Sauce - Miracle Whip,Ssauce
14191,Middle Green Cabbage - Quebec - Canada # 1,Cabbage
15348,"Capillary color - Beautiful Color - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",Stationary
40299,Coffee in organic and fair grains,Coffee
3593,GASED MINERAL WATER,Water
32156,waffles,Waffles
2748,Hygienic paper - limit of 4 - $ 7.99 per additional item,Hygienic paper
32446,Hot medicine for coughs and colds - neocitran - see varieties in store,Medicine
35004,Slicing cheese,Cheese
34423,Cuvette cleaner,Hygienic paper
3172,Skin care products,Personal Care
35522,UHT milk - Chokéo - See in store varieties,Milks
25860,Cat Food - Friskies,Cat Food
7399,Biscuits - Snak PAKS,Biscuits
17099,Tissue Papers - Pack of 6 Boxes,Tissue Papers
49633,Bar - Protilife - See Varieties in-store,Bars
14992,Frozen Chicken Wings - President's Choice,Frozen Chicken 
34358,Grape Bread - Old Moulin,Bread
5423,Sour cream,Cream
6673,Roman lettuces,Lettuces
769,Mango Ataulfo - Mexico,Mango
29418,Red Mango - Imported,Mango
39832,Beans,Beans
23368,Thin and crisp pizza - President's choice,Pizza 
21334,Sandwich or snack bags - Unnamed,Sandwich or snack bags
23756,Creamy and light peanut butter,Peanut butter
16997,Frozen Pizza - Ristorante - View Varieties in-store - Limit of 3 - Saturday 7 and Sunday December 8th,Frozen Pizza
28628,"Peanut Butter - Natural Crunchy - Saturday, November 10th Only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound",Peanut Butter
7785,Red Delicious Apples - Quebec - Canada of Fantasy,Apples
43691,Peanut Butter - Blue Menu,Peanut Butter
16593,Table towels - Unnamed,Table towels
40878,Chocolate treats - Kisses,Chocolate
33694,Milk 2% lactose-free,Milk
6948,cannelloni,cannelloni
10892,"Cookies - Saturday, October 19th only.- Limit of 4 - 3.49 by additional article",Cookies
3856,Natural peanut butter with salt,Peanut butter
29752,Snatcher,Snatcher
42828,Peanut Butter - Natural Crunchy - Saturday 29th and Sunday 30 December only - Limit of 4 - $ 4.99 The rest of the week or by article out of bound,Peanut Butter
9458,Mini-Cakes - Annette's - See Varieties in-store,Mini-Cakes
40020,Raisins Tomatoes - Quebec and / or Mexico - Category # 1,Tomatoes
27772,Red or black plums,Plum
15824,Frozen vegetables - President's choice,Frozen vegetables
21908,"Turkey Hachis - Irresistibles, Wellness",Turkey
12289,Cottage cheese,Cheese
28479,Juice at 100% - Nutrisource - View Varieties in-store,Juices
38273,Powder preparation with Omega for Nurtures - The Choice of President - See Varieties in Store - at Maxi & Cie only,
4674,"Peanut butter - crunchy - Saturday 7 and Sunday, December 8th only!- limit of 4 - $ 4.99 the rest of the week or by article out of bounds",Peanut butter
49508,Drink - Natur-A - See Varieties in store,Drinks
